L1,L2,L3,GROUP_DVS_CD,관리 계정 코드,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,계정코드,,계정명,,계정코드,,계정명
인건비,급여,기본급/상여/성과급,,HR-101,60110101,1,급여(임.직원),,일반관리비,판매비및일반관리비 (6011),급여 (601101),60110101,1,급여(임.직원),,일반관리비,판매비및일반관리비 (6011),급여 (601101),60110101,1,급여(임.직원),,505,,지원 임금,,505,,지원 임금
,,,,HR-101,60110103,1,"급여(연,월차)",,일반관리비,판매비및일반관리비 (6011),급여 (601101),60110103,1,"급여(연,월차)",,일반관리비,판매비및일반관리비 (6011),급여 (601101),60110103,1,"급여(연,월차)",,504,,설계 임금,,504,,공무 임금
,,,,HR-101,60110701,1,임금,,일반관리비,판매비및일반관리비 (6011),임금 (601107),60110701,1,임금,,,,,,,,,503,,시공 임금,,503,,설계 임금
,,,,HR-101,60110501,1,상여금(임.직원),,일반관리비,판매비및일반관리비 (6011),상여금 (601105),60110501,1,상여금(임.직원),,일반관리비,판매비및일반관리비 (6011),상여금 (601105),60110501,1,상여금(임.직원),,502,,공무 임금,,502,,시공 임금
,,,,HR-101,60111401,1,잡급(일용노무),,일반관리비,판매비및일반관리비 (6011),잡급(일용노무) (601114),60111401,1,잡급(일용노무),,일반관리비,판매비및일반관리비 (6011),잡급 (601107),60110701,1,잡급,,501,,관리 임금,,501,,관리 임금
,,,,HR-101,60114713,1,경상시험연구비(임금),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114713,1,경상시험연구비(임금),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114713,1,경상시험연구비(임금),,724,,노무비,,508,,생산직(일) 노무비
,,,,HR-101,60114701,1,경상시험연구비(급여),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114701,1,경상시험연구비(급여),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114701,1,경상시험연구비(급여),,,,,,507,,생산직(계) 임금
,,,,HR-101,60114702,1,경상시험연구비(연월차),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114702,1,경상시험연구비(연월차),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114702,1,경상시험연구비(연월차),,,,,,506,,생산관리 임금
,,,,HR-101,60114709,1,경상시험연구비(상여금),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114709,1,경상시험연구비(상여금),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114709,1,경상시험연구비(상여금),,,,,,610,,노무비
,,,,HR-101,50120101,1,원가)급여(임.직원),,용역원가,노무비 (5012),원가)급여 (501201),50120101,1,원가)급여(임.직원),,용역원가,노무비 (5012),원가)급여 (501201),50120101,1,원가)급여(임.직원),,,,,,,,
,,,,HR-101,50120103,1,"원가)급여(연,월차)",,용역원가,노무비 (5012),원가)급여 (501201),50120103,1,"원가)급여(연,월차)",,용역원가,노무비 (5012),원가)급여 (501201),50120103,1,"원가)급여(연,월차)",,,,,,,,
,,,,HR-101,50121501,1,원가)연구비(급여),,용역원가,노무비 (5012),원가)연구비(급여) (501215),50121501,1,원가)연구비(급여),,용역원가,노무비 (5012),원가)연구비(급여) (501215),50121501,1,원가)연구비(급여),,,,,,,,
,,,,HR-101,50120501,1,원가)상여금(임.직원),,용역원가,노무비 (5012),원가)상여금 (501205),50120501,1,원가)상여금(임.직원),,용역원가,노무비 (5012),원가)상여금 (501205),50120501,1,원가)상여금(임.직원),,,,,,,,
,,,,HR-101,50120701,1,원가)임금,,용역원가,노무비 (5012),원가)임금 (501207),50120701,1,원가)임금,,,,,,,,,,,,,,,
,,,,HR-101,50121401,1,원가)잡급(일용노무),,용역원가,노무비 (5012),원가)잡급(일용노무),50121401,1,원가)잡급(일용노무),,용역원가,노무비 (5012),원가)잡급 (501207),50120701,1,원가)잡급,,,,,,,,
,,제경비,,HR-102,60110301,1,제수당(임.직원),,일반관리비,판매비및일반관리비 (6011),제수당 (601103),60110301,1,제수당(임.직원),,일반관리비,판매비및일반관리비 (6011),제수당 (601103),60110301,1,제수당(임.직원),,,,,,,,
,,,,HR-102,60114705,1,경상시험연구비(제수당),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114705,1,경상시험연구비(제수당),,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114705,1,경상시험연구비(제수당),,,,,,,,
,,,,HR-102,50120301,1,원가)제수당(임.직원),,용역원가,노무비 (5012),원가)제수당 (501203),50120301,1,원가)제수당(임.직원),,용역원가,노무비 (5012),원가)제수당 (501203),50120301,1,원가)제수당(임.직원),,,,,,,,
,,퇴직급여,,HR-103,60110901,1,퇴직급여,,일반관리비,판매비및일반관리비 (6011),퇴직급여 (601109),60110901,1,퇴직급여,,일반관리비,판매비및일반관리비 (6011),퇴직급여 (601109),60110901,1,퇴직급여,,515,,지원 퇴직금,,558,,생산직(일) 퇴직금
